#front;back
随所;ずいしょ<br><br>everywhere, at every turn
随筆;ずいひつ<br><br>essays, miscellaneous writings, literary jottings
随分;ずいぶん<br><br>very, extremely, surprisingly, considerably
鯉;こい<br><br>carp, koi
元帥;げんすい<br><br>general of the army, marshal, admiral
追随;ついずい<br><br>follow, take after
頂;いただき<br><br>crown, summit, spire, easy win for one, something received
高騰;こうとう<br><br>sudden price jump, steep price rise
急騰;きゅうとう<br><br>sudden rise, jump, sharp rise
平壌;へいじょう, ぴょんやん<br><br>pyongyang
苗床;なえどこ<br><br>nursery, seedbed
葵;あおい<br><br>hollyhock
経緯;けいい, いきさつ<br><br>details, particulars, whole story, how it started, longitude and latitude
繊維;せんい<br><br>fiber, fibre, textile
土壌;どじょう<br><br>soil
惨め;みじめ<br><br>miserable, wretched, unhappy, sad
残虐;ざんぎゃく<br><br>cruelty, brutality
玄人;くろうと<br><br>expert, professional, specialist, woman of the red light district
緋鯉;ひごい<br><br>red carp, golden carp, red koi, golden koi
胡座;あぐら<br><br>sitting cross legged, sit cross legged
寛ぐ;くつろぐ<br><br>to relax, to feel at home
虐げる;しいたげる<br><br>to oppress, to persecute, to tyrannize
錦鯉;にしきごい<br><br>colored carp, coloured carp, colored koi, coloured koi
頂戴;ちょうだい<br><br>humbly receiving, humble eating, humble having
銀杏;いちょう, ぎんなん<br><br>ginkgo nut, ginkgo
偏り;かたより<br><br>bias, deviation, prejudice
風呂場;ふろば<br><br>bathroom
倫理学;りんりがく<br><br>ethics, moral philosophy
倫理的;りんりてき<br><br>ethical
静粛;せいしゅく<br><br>silent
茎;くき<br><br>stem, stalk
新陳代謝;しんちんたいしゃ<br><br>metabolism
愚;ぐ<br><br>foolish, silly, stupid
歌謡;かよう<br><br>song, ballad
疾走;しっそう<br><br>sprint, dash
顕在;けんざい<br><br>actual, obvious, explicit, overt, apparent, evident
捕鯨;ほげい<br><br>whaling, whale fishing
盆栽;ぼんさい<br><br>bonsai
疾病;しっぺい<br><br>illness, disease
酷評;こくひょう<br><br>severe criticism, damnation
音痴;おんち<br><br>tone deafness, tone deaf, off key
冠;かん, かむり, かんむり<br><br>traditional cap, crown, diadem, coronet
王冠;おうかん<br><br>crown, diadem, bottle cap
殊勲;しゅくん<br><br>meritorious deeds
叙勲;じょくん<br><br>conferring of decorations, decorate
勲章;くんしょう<br><br>decoration, order, medal
痴漢;ちかん<br><br>molester, pervert
卸;おろし<br><br>wholesale
卸す;おろす<br><br>to sell wholesale, to grate
卸値;おろしね<br><br>wholesale price
卸売;おろしうり<br><br>wholesale
哺乳瓶;ほにゅうびん<br><br>baby bottle
空疎;くうそ<br><br>vain, groundless, futile
疎遠;そえん<br><br>estrangement, neglect
疎ら;まばら<br><br>sparse, thin, scattered, straggling, sporadic
叙情;じょじょう<br><br>lyricism, description of feelings, expression of feelings
疾風;しっぷう, はやて<br><br>gale, strong wind, fresh breeze
残酷;ざんこく<br><br>cruelty, harshness
自粛;じしゅく<br><br>self control, self discipline, self restraint
叙事詩;じょじし<br><br>epic poem, descriptive poetry
叙述;じょじゅつ<br><br>description
厳粛;げんしゅく<br><br>gravity, solemnity, severity, seriousness
庶民;しょみん<br><br>masses, common people
呆ける;ぼける, ほうける<br><br>to grow senile, to be mentally slow
露呈;ろてい<br><br>exposure, disclosure
進呈;しんてい<br><br>presentation
酷い;ひどい<br><br>cruel, awful, severe, terrible, violent
冷酷;れいこく<br><br>cruel, coldhearted, relentless, ruthless
哺育;ほいく<br><br>nursing, suckling
疎開;そかい<br><br>evacuation
指紋;しもん<br><br>fingerprint
賠償金;ばいしょうきん<br><br>reparations, compensation
実践;じっせん<br><br>practice, practise, put into practice, put into practise
波紋;はもん<br><br>ripple, repercussions
孤児院;こじいん<br><br>orphanage
紋章;もんしょう<br><br>crest, coat of arms
鎌;かま<br><br>sickle, scythe
過疎;かそ<br><br>depopulation
尚;なお<br><br>furthermore, still, more, greater
無秩序;むちつじょ<br><br>disorder, chaos, confusion
和尚;おしょう<br><br>buddhist high priest, high priest, buddhist priest
疾患;しっかん<br><br>disease, ailment, disorder
逸品;いっぴん<br><br>gem, treasure, article of rare beauty, fine article
秀逸;しゅういつ<br><br>excellence
高尚;こうしょう<br><br>high, noble, refined
逸脱;いつだつ<br><br>deviation, departure, omission
庶務;しょむ<br><br>general affairs
山荘;さんそう<br><br>mountain retreat, mountain cottage, mountain villa
陳列室;ちんれつしつ<br><br>showroom
必須条件;ひっすじょうけん<br><br>essential condition, requisite, must
悠久;ゆうきゅう<br><br>eternity, perpetuity, permanence
荘厳;そうごん<br><br>solemnity, gravity
露顕;ろけん<br><br>discovery, detection, exposure
鯨肉;げいにく<br><br>whale meat
噴き出す;ふきだす<br><br>to burst out, to spout out, to bud, to sprout
悠長;ゆうちょう<br><br>leisurely, slow, deliberate, easygoing
別荘;べっそう<br><br>holiday house, villa
愚痴;ぐち<br><br>idle complaint, grumble
欄;らん<br><br>column, column of text, field
痴呆;ちほう<br><br>dementia
童謡;どうよう<br><br>nursery rhyme, children's song
顕著;けんちょ<br><br>remarkable, striking, obvious
民謡;みんよう<br><br>folk song, popular song
顕彰;けんしょう<br><br>honoring, honouring
疎通;そつう<br><br>mutual understanding, removal of blockage, drainage
誘拐;ゆうかい<br><br>kidnapping, abduction
貫き通す;つらぬきとおす<br><br>to follow, to stick with, to stick to, to go through
鯨;くじら<br><br>whale
