#front;back
群れ;むれ<br><br>flock
足跡;あしあと<br><br>footprint
銃;じゅう<br><br>gun, firearm
片〜;かた<br><br>fragment, one of a pair, incomplete
本塁打;ほんるいだ<br><br>homerun
要項;ようこう<br><br>important points, main points
跡継ぎ;あとつぎ<br><br>heir, heiress, successor
跳ねる;はねる<br><br>to jump, to leap, to hop
飛躍;ひやく<br><br>leaping
免許;めんきょ<br><br>license, certificate, permit
勧告;かんこく<br><br>recommendation
謙虚;けんきょ<br><br>modesty, humility
稲田;いなだ<br><br>rice field, rice paddy, paddy field
圏外;けんがい<br><br>out of range
埼玉県;さいたまけん<br><br>saitama prefecture
短銃;たんじゅう<br><br>pistol, revolver
隆盛;りゅうせい<br><br>prosperity
充電;じゅうでん<br><br>recharge
稲作;いなさく<br><br>rice cultivation, rice crop
福祉;ふくし<br><br>welfare, well being
払い戻す;はらいもどす<br><br>to repay, to refund, to reimburse
銃弾;じゅうだん<br><br>rifle bullet, bullet
製鋼;せいこう<br><br>steel manufacture
免税;めんぜい<br><br>tax exemption
壁紙;かべがみ<br><br>wallpaper
枠組み;わくぐみ<br><br>frame, framework
拒否;きょひ<br><br>refusal, rejection
慎重;しんちょう<br><br>discreet, careful
渋い;しぶい<br><br>bitter flavor, bitter
鋼材;こうざい<br><br>steel material
応募する;おうぼする<br><br>to apply for, to enlist, to answer an ad
縄跳び;なわとび<br><br>jump rope
棋士;きし<br><br>shogi player, go player
岐阜;ぎふ<br><br>gifu
募集中;ぼしゅうちゅう<br><br>now hiring, now recruiting
将棋;しょうぎ<br><br>shogi, shougi, japanese chess
弾く;ひく<br><br>to play a stringed instrument, to play
言葉遣い;ことばづかい<br><br>choice of words
狙う;ねらう<br><br>to aim at, to aim
掲示板;けいじばん<br><br>bulletin board
渋滞;じゅうたい<br><br>traffic jam, traffic congestion
取り戻す;とりもどす<br><br>to take back
原子爆弾;げんしばくだん<br><br>atomic bomb
邦人;ほうじん<br><br>fellow countryman, japanese national
邦訳;ほうやく<br><br>translation into japanese, translation to japanese
隆起;りゅうき<br><br>protuberance, bulge
壁;かべ<br><br>wall
片仮名;かたかな<br><br>katakana
片道;かたみち<br><br>one way street, one way
群馬県;ぐんまけん<br><br>gunma prefecture
御免;ごめん<br><br>sorry, i beg your pardon
免除;めんじょ<br><br>exemption, exclusion
勧誘;かんゆう<br><br>solicitation, invitation
埋める;うめる, うずめる<br><br>to bury
奪う;うばう<br><br>to rob, to steal by force
連邦;れんぽう<br><br>commonwealth, federation
拒む;こばむ<br><br>to refuse, to reject
甲;こう<br><br>turtle shell
譲る;ゆずる<br><br>to concede, to hand over, to turn over
移譲;いじょう<br><br>transfer, assignment
謙譲語;けんじょうご<br><br>humble japanese, humble language
活躍;かつやく<br><br>activity, great efforts
項目;こうもく<br><br>clause, entry, data item
躍進;やくしん<br><br>rush, dash, onslaught
躍動;やくどう<br><br>lively motion, throb
事項;じこう<br><br>matter, item, facts
控え;ひかえ<br><br>backup, reserve, spare, copy, stub
群集;ぐんしゅう<br><br>crowd, multitude
銃殺;じゅうさつ<br><br>death by shooting
薄弱;はくじゃく<br><br>weakness, feebleness
褒賞;ほうしょう<br><br>medal, prize, reward
隣;となり<br><br>neighbor, next door neighbor
近隣;きんりん<br><br>neighborhood
扱い;あつかい<br><br>handling, treatment
隣国;りんごく<br><br>neighboring country
雅致;がち<br><br>artistry, good taste, elegance
奥様;おくさま<br><br>your wife, wife, ma'am
取り扱う;とりあつかう<br><br>to manage, to handle
兼業;けんぎょう<br><br>side business, second job, moonlighting
携帯;けいたい<br><br>portable, cell phone, mobile phone
兼用;けんよう<br><br>combined use, serving two purposes
座敷;ざしき<br><br>tatami room, tatami mat room
電柱;でんちゅう<br><br>telephone pole
内緒話;ないしょばなし<br><br>confidential talk, whispering
頻繁;ひんぱん<br><br>incessant, frequent
〜殿;どの<br><br>lord, master, milord
柱;はしら<br><br>pillar
独唱;どくしょう<br><br>solo
茂る;しげる<br><br>to be luxurious, to grow thickly
携わる;たずさわる<br><br>to engage in, to participate, to take part in
傾ける;かたむける<br><br>to lean, to tilt
敷く;しく<br><br>to spread out, to lay out
戒める;いましめる<br><br>to warn, to caution, to admonish
警戒;けいかい<br><br>vigilance, precaution
緩める;ゆるめる<br><br>to loosen, to relax
栄誉;えいよ<br><br>honor, honour
優雅;ゆうが<br><br>elegance, grace
衝撃;しょうげき<br><br>shock, crash, impact
排他;はいた<br><br>exclusion
頻度;ひんど<br><br>frequency
新鋭;しんえい<br><br>freshly picked, newly produced
排気;はいき<br><br>exhaust, ventilation
殿様;とのさま<br><br>feudal lord
雅楽;ががく<br><br>japanese court music, gagaku
過敏;かびん<br><br>oversensitivity, nervousness
逃亡者;とうぼうしゃ<br><br>fugitive, runaway, refugee
防腐剤;ぼうふざい<br><br>preservative, antiseptic
吹く;ふく<br><br>to blow
内堀;うちぼり<br><br>inner moat
巡回;じゅんかい<br><br>patrol, going around
薬剤師;やくざいし<br><br>pharmacist
巡礼;じゅんれい<br><br>pilgrimage
駐日;ちゅうにち<br><br>resident of japan, stationed in japan
生殖;せいしょく<br><br>reproduction
繁栄;はんえい<br><br>prospering, prosperity
宜しく;よろしく<br><br>best regards, well, properly, suitably
〜剤;ざい<br><br>medicine, dose
薬剤;やくざい<br><br>medicine, drugs
隣人;りんじん<br><br>neighbor
透明;とうめい<br><br>transparent, transparency
隣家;りんか<br><br>neighboring house
褒める;ほめる<br><br>to praise, to compliment
鋭敏;えいびん<br><br>sharpness, quick witted, keenness
懸かる;かかる<br><br>to hang, to depend on, to be at stake
鋭利;えいり<br><br>sharpness
繰り返す;くりかえす<br><br>to repeat, to repeat over and over
繁殖;はんしょく<br><br>breeding, multiplying
合唱団;がっしょうだん<br><br>chorus, choir
衝突;しょうとつ<br><br>collision, impact, conflict
獲得;かくとく<br><br>acquisition, possession
戒告;かいこく<br><br>admonition
堀川;ほりかわ<br><br>canal
薄情;はくじょう<br><br>cold hearted
洗剤;せんざい<br><br>detergent
主唱;しゅしょう<br><br>advocate
堀;ほり<br><br>ditch, moat, canal
機敏;きびん<br><br>clever, shrewd, smart, quick
薄い;うすい<br><br>dilute, thin, weak
排水;はいすい<br><br>drainage
犠打;ぎだ<br><br>sacrifice fly
兼ねる;かねる<br><br>to combine, to double as, to be unable, to have trouble doing
唱歌;しょうか<br><br>singing, songs
獲物;えもの<br><br>spoils, trophy, game
排除;はいじょ<br><br>exclusion, removal, elimination
逃す;のがす<br><br>to let go, to let escape, to set free
称える;たたえる, となえる<br><br>to praise, to give praise, to call oneself
一生懸命;いっしょうけんめい<br><br>with all one's might, all out
選択する;せんたくする<br><br>to select, to choose
避難する;ひなんする<br><br>to evacuate
遠慮する;えんりょする<br><br>to decline, to restrain
宜しくお願いします;よろしくおねがいします<br><br>best regards
贈り物;おくりもの<br><br>a present, present
沖縄県;おきなわけん<br><br>okinawa prefecture
贈賄;ぞうわい<br><br>bribery
駐在;ちゅうざい<br><br>residence, stay
顧問;こもん<br><br>advisor
