#front;back
寒い;さむい<br><br>cold
庭;にわ<br><br>garden, yard
息子;むすこ<br><br>son
悪人;あくにん<br><br>bad person, villain, evildoer, bad guy, wicked person, evil person
最悪;さいあく<br><br>the worst, worst
旅;たび<br><br>trip, travel
旅行;りょこう<br><br>trip, travel
家族;かぞく<br><br>family, immediate family
時期;じき<br><br>time, season, period, time period, period of time
大根;だいこん<br><br>daikon, japanese radish
屋根;やね<br><br>roof
根気;こんき<br><br>patience, perseverance, persistence
植物;しょくぶつ<br><br>plant, vegetation
消す;けす<br><br>to extinguish, to erase, to turn off
水深;すいしん<br><br>water depth, depth of water
深い;ふかい<br><br>deep
湯気;ゆげ<br><br>steam, vapor
茶の湯;ちゃのゆ<br><br>tea ceremony
球;たま, きゅう<br><br>sphere, ball, sports ball
野球;やきゅう<br><br>baseball
転ぶ;ころぶ<br><br>to fall over, to fall down
東京都;とうきょうと<br><br>tokyo metropolis, tokyo metro, tokyo metropolitan area
着る;きる<br><br>to wear, to put on
着物;きもの<br><br>kimono, clothes
第一;だいいち<br><br>the first, first, number one, best
心配する;しんぱいする<br><br>to worry, to be concerned, to be anxious
一階;いっかい<br><br>first floor, floor one, first story, first storey
会員;かいいん<br><br>member, membership
船員;せんいん<br><br>sailor, seaman, mariner, crewman
大学院生;だいがくいんせい<br><br>graduate student, grad student
行動;こうどう<br><br>action, conduct, behaviour, behavior, mobilization, mobilisation
期間;きかん<br><br>period, term, interval, span
学期;がっき<br><br>school term, semester
流行;りゅうこう, はやり<br><br>trend, fad, craze
顔文字;かおもじ<br><br>kaomoji
植える;うえる<br><br>to plant, to grow
港;みなと<br><br>harbor, harbour, port
鳴き声;なきごえ<br><br>animal cry, animal sound, animal noise, chirp, tweet, roar, bark, meow
親分;おやぶん<br><br>boss, kingpin, chief, head
父親;ちちおや<br><br>father
一億;いちおく<br><br>one hundred million
全然;ぜんぜん<br><br>entirely, completely, not at all
鏡;かがみ<br><br>mirror
話題;わだい<br><br>topic, subject
追い付く;おいつく<br><br>to catch up to, to overtake
銀色;ぎんいろ<br><br>silver, silver color, silver colour, colour silver, color silver
福島;ふくしま<br><br>fukushima
注文する;ちゅうもんする<br><br>to order, to request
殺人;さつじん<br><br>murder
橋;はし<br><br>bridge
共有する;きょうゆうする<br><br>to share, to own jointly, to co own
一億円;いちおくえん<br><br>one hundred million yen
想像する;そうぞうする<br><br>to imagine
緑色;みどりいろ<br><br>green, color green, green color, colour green, green colour
五感;ごかん<br><br>the five senses, five senses
銀;ぎん<br><br>silver
左利き;ひだりきき<br><br>left handed
緑;みどり<br><br>green
宿題;しゅくだい<br><br>homework
人情;にんじょう<br><br>humanity, human feelings, empathy, kindness, sympathy
億;おく<br><br>hundred million
情熱;じょうねつ<br><br>passion, enthusiasm
暗殺;あんさつ<br><br>assassination
感じ;かんじ<br><br>feeling
予想;よそう<br><br>expect, anticipate, expectation, anticipation, prediction
当然;とうぜん<br><br>natural, obvious
回想;かいそう<br><br>retrospection, reminiscence
駅前;えきまえ<br><br>front of station, in front of station, front of the station, in front of the station, station front
手伝う;てつだう<br><br>to help, to assist, to lend a hand, to give a hand
詩歌;しか, しいか<br><br>poetry
新宿;しんじゅく<br><br>shinjuku
思想;しそう<br><br>thought, idea
車輪;しゃりん<br><br>tire, car wheel, tyre
