#front;back
鋳造;ちゅうぞう<br><br>casting, founding, minting
早乙女;さおとめ<br><br>rice planting girl, saotome
峠;とうげ<br><br>ridge, mountain pass, climax
凸凹;でこぼこ<br><br>uneven, rough, rugged
惜しまない;おしまない<br><br>without sparing, spare no effort
狐;きつね<br><br>fox
濁る;にごる<br><br>to become muddy, to become impure, to become cloudy
泌尿器;ひにょうき<br><br>urinary organs
蛮行;ばんこう<br><br>barbarism, brutality
帆柱;ほばしら<br><br>mast
煩い;うるさい<br><br>noisy, loud, annoying
罷免;ひめん<br><br>dismissal, discharge
藍;あい<br><br>indigo
唄;うた<br><br>song, shamisen song
坑道;こうどう<br><br>tunnel, mine, shaft
解剖学;かいぼうがく<br><br>anatomy
弾劾;だんがい<br><br>impeachment, accusation, censure, denunciation
湧く;わく<br><br>to well up, to gush forth, to spring out, to surge
長唄;ながうた<br><br>long shamisen song, epic shamisen song, nagauta
死刑囚;しけいしゅう<br><br>condemned criminal, death row convict
妄想;もうそう<br><br>delusion, fantasy
娘婿;むすめむこ<br><br>adopted son in law, son in law
悪戯;いたずら<br><br>tease, prank, trick, practical joke
殉職;じゅんしょく<br><br>die at one's post, die on duty, die at your post
拷問;ごうもん<br><br>torture, the rack, third degree
吸い殻;すいがら<br><br>cigarette butt, tobacco ashes
渓谷;けいこく<br><br>valley, ravine, canyon
煩忙;はんぼう<br><br>busy, busy from pressure
湖畔;こはん<br><br>lake shore
下痢;げり<br><br>diarrhea, diarrhoea
矯正;きょうせい<br><br>correction, remedy
硫黄;いおう<br><br>sulfur, sulphur
藻;も<br><br>seaweed, duckweed, algae
海藻;かいそう<br><br>seaweed
野蛮;やばん<br><br>savage, uncivilized, uncivilised
南蛮;なんばん<br><br>southern barbarians, nanban
謹賀新年;きんがしんねん<br><br>happy new year, happy new year!
容赦なく;ようしゃなく<br><br>relentlessly, mercilessly
逝去;せいきょ<br><br>death
倹約;けんやく<br><br>thrift, economy, frugality
醜悪;しゅうあく<br><br>ugliness, meanness, offensiveness
醜態;しゅうたい<br><br>shameful sight, disgraceful behavior, disgraceful behaviour
