#front;back
いい加減;いいかげん<br><br>pointless, unfounded, irresponsible, careless
果たして;はたして<br><br>as was expected, just as i thought, as expected
笛;ふえ<br><br>flute, whistle
乱れる;みだれる<br><br>to be in disorder, to be disordered
乱交;らんこう<br><br>orgy, promiscuity
参加;さんか<br><br>participation
宇宙;うちゅう<br><br>outer space, space, universe
警官;けいかん<br><br>police officer, policeman, cop
履歴書;りれきしょ<br><br>personal history, resume, resumé, curriculum vitae, cv
履く;はく<br><br>to put on shoes, to put on pants, to put on boots
忙しい;いそがしい<br><br>busy
若布;わかめ<br><br>wakame, wakame seaweed
布団;ふとん<br><br>futon, bedding, sleeping mat
生徒;せいと<br><br>follower, pupil, student
信徒;しんと<br><br>believer, follower
得る;える<br><br>to acquire, to gain, to obtain
得意;とくい<br><br>good at, skilled at, strong point, specialty, forte
説得;せっとく<br><br>persuasion
恋人;こいびと<br><br>lover
大失敗;だいしっぱい<br><br>total failure, huge mistake, big mistake, debacle, massive failure, epic fail
昆布;こんぶ<br><br>konbu, kombu, konbu seaweed, kombu seaweed
乱暴;らんぼう<br><br>violence
梅干;うめぼし<br><br>pickled plums, pickled ume, umeboshi
比べる;くらべる<br><br>to compare
比例;ひれい<br><br>proportion, ratio
混ざる;まざる<br><br>to get mixed, to be mixed, to be blended with
減る;へる<br><br>to be decreased, to get decreased, to decrease
若々しい;わかわかしい<br><br>youthful
歌詞;かし<br><br>song lyrics, lyrics
財閥;ざいばつ<br><br>plutocrats, financial clique, zaibatsu
連続;れんぞく<br><br>a series, series
大きい順;おおきいじゅん<br><br>decreasing order, descending order, largest first
五十音順;ごじゅうおんじゅん<br><br>aiueo order, in aiueo order
改まる;あらたまる<br><br>to be renewed, to be formal
連日;れんじつ<br><br>every day, day after day, for days on end, daily, prolonged
連れる;つれる<br><br>to take along, to bring with, to bring a person, to lead
混血;こんけつ<br><br>mixed race, mixed parentage
学歴;がくれき<br><br>academic history, academic background, academic record
関連;かんれん<br><br>relation, connection, relevance, correlation, association
連中;れんちゅう, れんぢゅう, れんじゅう<br><br>colleagues, company, these guys, troupe
在留;ざいりゅう<br><br>residence
可能性;かのうせい<br><br>possibility
お尻;おしり<br><br>butt
会議;かいぎ<br><br>meeting, conference, assembly
借り手;かりて<br><br>borrower
飛行機;ひこうき<br><br>airplane, aeroplane, aircraft
穴場;あなば<br><br>hole in the wall, little known good place
嫌疑;けんぎ<br><br>suspicion
議論;ぎろん<br><br>argument
倒産;とうさん<br><br>bankruptcy
留守番電話;るすばんでんわ<br><br>answering machine
嫌;いや<br><br>dislike, eww, ew, gross
立入禁止;たちいりきんし<br><br>do not enter, no entry, entry prohibited, no trespassing, trespassing prohibited
人達;ひとたち<br><br>people
罪;つみ<br><br>sin, crime
弓矢;ゆみや<br><br>bow and arrow
妻子;さいし<br><br>wife and kids, wife and children
防ぐ;ふせぐ<br><br>to defend, to protect against, to prevent
読者;どくしゃ<br><br>reader
