#front;back
暮らす;くらす<br><br>to live, to live one's life
異性;いせい<br><br>opposite sex, opposite gender
編集する;へんしゅうする<br><br>to edit
開閉;かいへい<br><br>opening and closing, opening and shutting
著作;ちょさく<br><br>writing, authorship
似合う;にあう<br><br>to suit, to match
窓;まど<br><br>window
驚かす;おどろかす<br><br>to surprise, to shock, to astonish
乾かす;かわかす<br><br>to dry something, to dry
諸〜;しょ<br><br>various
離す;はなす<br><br>to separate, to keep apart
宝;たから<br><br>treasure
野暮;やぼ<br><br>unrefined, rustic, stupid
熟れる;うれる<br><br>to ripen
砂;すな<br><br>sand, grains
異状;いじょう<br><br>abnormality, something wrong
無糖;むとう<br><br>sugar free, unsweetened
裏通り;うらどおり<br><br>alley, back street
灰;はい<br><br>ash, ashes
装置;そうち<br><br>equipment, device, apparatus
盛る;もる<br><br>to heap up, to serve food
灰皿;はいざら<br><br>ashtray
装い;よそおい<br><br>attire, dress, garb
著者;ちょしゃ<br><br>author
裏口;うらぐち<br><br>back door, rear entrance
蒸れる;むれる<br><br>to be humid
操;みさお<br><br>chastity, virginity
皇太子;こうたいし<br><br>crown prince
否定;ひてい<br><br>denial
砂漠;さばく<br><br>desert
裏切る;うらぎる<br><br>to backstab, to betray
除いて;のぞいて<br><br>except
忠実;ちゅうじつ<br><br>faithful, devoted, loyal
垂らす;たらす<br><br>to dangle something, to dangle
小麦粉;こむぎこ<br><br>flour
閉店;へいてん<br><br>store closed, closed store
筋;すじ<br><br>tendon
閉める;しめる<br><br>to close, to shut
垂直;すいちょく<br><br>vertical, perpendicular
敬語;けいご<br><br>honorific, term of respect, keigo
皇族;こうぞく<br><br>imperial family, member of the imperial family
宝石;ほうせき<br><br>jewel
国宝;こくほう<br><br>national treasure, nic cage
異義;いぎ<br><br>different meaning
地蔵;じぞう<br><br>jizo, jizou
成熟;せいじゅく<br><br>ripen, mature, ripeness, maturity
拡張;かくちょう<br><br>enlargement, expansion, extension
編集者;へんしゅうしゃ<br><br>editor
掃除する;そうじする<br><br>to clean
泥棒;どろぼう<br><br>robber, burglar
納入;のうにゅう<br><br>payment, supply
物真似;ものまね<br><br>impersonation
簡単;かんたん<br><br>simple, easy, simply
